term_id,name,slug,description,display_type,parent,thumbnail
823,"Soin & Beauté",soin-beaute,"Catégorie principale pour les appareils de soin et beauté",default,0,https://electromanos.ma/wp-content/uploads/2025/06/beaute-300x300-1.jpg
854,"Soin des cheveux",soin-beaute-cheveux,"Appareils pour le soin des cheveux",default,823,https://electromanos.ma/wp-content/uploads/2025/06/New-Project-35.jpg
864,"Tondeuses multi-usages",soin-beaute-rasage-tondeuse-multi,"Tondeuses polyvalentes",default,861,https://electromanos.ma/wp-content/uploads/2025/06/New-Project-33.jpg
941,"Traitement de l'air",traitement-de-lair,,default,824,
849,TV,image-son-tv,"Téléviseurs et écrans",default,822,https://electromanos.ma/wp-content/uploads/2025/06/New-Project-16.jpg
850,"TV LED",image-son-tv-led,"Téléviseurs avec technologie LED",default,849,https://electromanos.ma/wp-content/uploads/2025/06/beaute-300x300-2.jpg
853,"TV NEOQLED",image-son-tv-neoqled,"Téléviseurs avec technologie NEO QLED",default,849,https://electromanos.ma/wp-content/uploads/2025/06/beaute-300x300-2.jpg
852,"TV OLED",image-son-tv-oled,"Téléviseurs avec technologie OLED",default,849,https://electromanos.ma/wp-content/uploads/2025/06/beaute-300x300-2.jpg
851,"TV QLED",image-son-tv-qled,"Téléviseurs avec technologie QLED",default,849,https://electromanos.ma/wp-content/uploads/2025/06/beaute-300x300-2.jpg
951,"Ustensiles de cuisine",ustensiles-de-cuisine,,default,837,
869,Ventilateurs,clim-chauffage-ventilateur,"Appareils de ventilation",default,824,https://electromanos.ma/wp-content/uploads/2025/06/New-Project-44.jpg
870,"Ventilateurs sur pied",clim-chauffage-ventilateur-pied,"Ventilateurs sur pied",default,869,https://electromanos.ma/wp-content/uploads/2025/06/New-Project-40.jpg
