Type,SKU,Name,Published,Featured,Catalog visibility,Price,Regular price,Sale price,Images,Categories,Tags,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 5 name,Attribute 5 value(s),Attribute 6 name,Attribute 6 value(s),Attribute 7 name,Attribute 7 value(s),Attribute 8 name,Attribute 8 value(s),Attribute 9 name,Attribute 9 value(s),Attribute 10 name,Attribute 10 value(s),Attribute 11 name,Attribute 11 value(s),Attribute 12 name,Attribute 12 value(s),Attribute 13 name,Attribute 13 value(s),Attribute 14 name,Attribute 14 value(s),Attribute 15 name,Attribute 15 value(s),Attribute 16 name,Attribute 16 value(s),Attribute 17 name,Attribute 17 value(s),Attribute 18 name,Attribute 18 value(s),Attribute 19 name,Attribute 19 value(s),Attribute 20 name,Attribute 20 value(s),Attribute 21 name,Attribute 21 value(s),Attribute 22 name,Attribute 22 value(s),Attribute 23 name,Attribute 23 value(s),Attribute 24 name,Attribute 24 value(s),Attribute 25 name,Attribute 25 value(s),Attribute 26 name,Attribute 26 value(s),Attribute 27 name,Attribute 27 value(s),Attribute 28 name,Attribute 28 value(s),Attribute 29 name,Attribute 29 value(s),Attribute 30 name,Attribute 30 value(s),Attribute 31 name,Attribute 31 value(s),Attribute 32 name,Attribute 32 value(s),Attribute 33 name,Attribute 33 value(s),Attribute 34 name,Attribute 34 value(s),Attribute 35 name,Attribute 35 value(s),Attribute 36 name,Attribute 36 value(s)
simple,PIE FOREST,VENTILATEUR PIE FOREST,1,0,visible,,1199,,"https://electroclub.ma/11917-large_default/ventilateur-taurus-ponent-16c-elegance-5b.jpg,https://electroclub.ma/11918-large_default/ventilateur-taurus-ponent-16c-elegance-5b.jpg,https://electroclub.ma/11919-large_default/ventilateur-taurus-ponent-16c-elegance-5b.jpg,https://electroclub.ma/11920-large_default/ventilateur-taurus-ponent-16c-elegance-5b.jpg,https://electroclub.ma/11921-large_default/ventilateur-taurus-ponent-16c-elegance-5b.jpg",Not found,,Marque,Taurus,Reference fournisseur,PIE FOREST,Garantie,2 Ans,Marque,Taurus,Hauteur (cm),130 cm,Largeur (cm),46,Puissance,50W,Type,Base triangulaire,Nombre de vitesse,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple,T24SDH-I,CLIMATISEUR LG T24SDH-I 24000 BTU,1,0,visible,,6499,,"https://electroclub.ma/12128-large_default/climatiseur-12000-btu-artcool-nano-smart-inverter-lg-new-sans-installation.jpg,https://electroclub.ma/12129-large_default/climatiseur-12000-btu-artcool-nano-smart-inverter-lg-new-sans-installation.jpg,https://electroclub.ma/12130-large_default/climatiseur-12000-btu-artcool-nano-smart-inverter-lg-new-sans-installation.jpg,https://electroclub.ma/12131-large_default/climatiseur-12000-btu-artcool-nano-smart-inverter-lg-new-sans-installation.jpg,https://electroclub.ma/12132-large_default/climatiseur-12000-btu-artcool-nano-smart-inverter-lg-new-sans-installation.jpg",Chauffage,,Marque,LG,Garantie,1 An,Marque,LG,Hauteur (cm),47,Largeur (cm),70,Profondeur (cm),23,Finition,Blanc,Niveau sonore,56|40|29 dB(A),Fonctions,Froid et chauffage,Programmable,Non,Categorie,Fixe,Monosplit,Oui,Thermostat,Oui,Type de Climatiseur,Climatiseur Mural,Catégorie Climatiseur,Split,Puissance Frigorifique (BTU),24000,Caractéristique Spéciale,Dual Inverter Compressor™,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple,TAC-09CHSA/XA41 / 9000BUT,CLIMATISEUR TCL TAC-09CHSA/XA41 9000 BTU,1,0,visible,,3199,,"https://electroclub.ma/12107-large_default/climatiseur-12000-btu-artcool-nano-smart-inverter-lg-new-sans-installation.jpg,https://electroclub.ma/12108-large_default/climatiseur-12000-btu-artcool-nano-smart-inverter-lg-new-sans-installation.jpg,https://electroclub.ma/12109-large_default/climatiseur-12000-btu-artcool-nano-smart-inverter-lg-new-sans-installation.jpg,https://electroclub.ma/12110-large_default/climatiseur-12000-btu-artcool-nano-smart-inverter-lg-new-sans-installation.jpg,https://electroclub.ma/12111-large_default/climatiseur-12000-btu-artcool-nano-smart-inverter-lg-new-sans-installation.jpg",Chauffage,,Marque,TCL,Garantie,1 An,Programmable,Non,Hauteur,20 cm,Largeur,70 cm,Profondeur,26 cm,Thermostat,Oui,Type de Climatiseur,Climatiseur Mural,Catégorie Climatiseur,Split,Puissance Frigorifique (BTU),9000,Débit d&#039;Air (m3/h),9,Déshumidificateur,Technologie Jet Dry,Niveau Sonore (dB),42|36|28|21 dB(A)+1,Caractéristique Spéciale,Dual Inverter Compressor™,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple,TAC-09CHSA/XA41 / 12000BUT,CLIMATISEUR TCL TAC-09CHSA/XA41 12000 BTU,1,0,visible,,3699,,"https://electroclub.ma/12134-large_default/climatiseur-12000-btu-artcool-nano-smart-inverter-lg-new-sans-installation.jpg,https://electroclub.ma/12135-large_default/climatiseur-12000-btu-artcool-nano-smart-inverter-lg-new-sans-installation.jpg,https://electroclub.ma/12136-large_default/climatiseur-12000-btu-artcool-nano-smart-inverter-lg-new-sans-installation.jpg,https://electroclub.ma/12137-large_default/climatiseur-12000-btu-artcool-nano-smart-inverter-lg-new-sans-installation.jpg,https://electroclub.ma/12138-large_default/climatiseur-12000-btu-artcool-nano-smart-inverter-lg-new-sans-installation.jpg",Chauffage,,Marque,TCL,Garantie,1 An,Programmable,Non,Hauteur,20 cm,Largeur,70 cm,Profondeur,26 cm,Thermostat,Oui,Type de Climatiseur,Climatiseur Mural,Catégorie Climatiseur,Split,Puissance Frigorifique (BTU),12000,Débit d&#039;Air (m3/h),9,Déshumidificateur,Technologie Jet Dry,Niveau Sonore (dB),42|36|28|21 dB(A)+1,Caractéristique Spéciale,Dual Inverter Compressor™,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple,R403,VENTLATEUR AIR COOLERS R403,1,0,visible,,749,,"https://electroclub.ma/11926-large_default/climatiseur-inverter-miroir-9000-btu.jpg,https://electroclub.ma/11927-large_default/climatiseur-inverter-miroir-9000-btu.jpg,https://electroclub.ma/11928-large_default/climatiseur-inverter-miroir-9000-btu.jpg,https://electroclub.ma/11929-large_default/climatiseur-inverter-miroir-9000-btu.jpg,https://electroclub.ma/11930-large_default/climatiseur-inverter-miroir-9000-btu.jpg",Not found,,Marque,Taurus,Reference fournisseur,R403,Marque,Taurus,Coloris,Blanc|Gris,Niveau sonore,65 dBA,Puissance,80 w,Arret automatique,Oui,Nombre de vitesse,3,Poids (KG),2,Réservoir d’eau,4 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple,DH-1201,DESHUMIDIFICATEUR PLEASANT DH-1201,1,0,visible,,1199,,"https://electroclub.ma/13094-large_default/climatiseur-inverter-miroir-9000-btu.jpg,https://electroclub.ma/13093-large_default/climatiseur-inverter-miroir-9000-btu.jpg,https://electroclub.ma/13095-large_default/climatiseur-inverter-miroir-9000-btu.jpg,https://electroclub.ma/13096-large_default/climatiseur-inverter-miroir-9000-btu.jpg",Not found,,Marque,Taurus,Reference fournisseur,DH-1201,Marque,Taurus,Coloris,Blanc|Gris,Minuteur,Non,Capacite reservoir,2|5 Litres,Dimension,‎34|5 x 20 x 10 cm,Indicateur de temperature,Non,SURFACE COUVERTE,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple,D10AWH,Climatiseur LG 9000 BTU Dual INVERTER D10AWH,1,0,visible,,5099,,"https://electroclub.ma/5653-large_default/climatiseur-lg-9000-btu-dual-inverter-avec-sans-installation.jpg,https://electroclub.ma/5654-large_default/climatiseur-lg-9000-btu-dual-inverter-avec-sans-installation.jpg,https://electroclub.ma/5655-large_default/climatiseur-lg-9000-btu-dual-inverter-avec-sans-installation.jpg,https://electroclub.ma/5656-large_default/climatiseur-lg-9000-btu-dual-inverter-avec-sans-installation.jpg,https://electroclub.ma/5657-large_default/climatiseur-lg-9000-btu-dual-inverter-avec-sans-installation.jpg",Chauffage,,Marque,LG,Reference fournisseur,D10AWH,Garantie,1 An,Programmable,Non,Hauteur,295 mm,Largeur,875 mm,Profondeur,235 mm,Thermostat,Oui,Type de Climatiseur,Climatiseur Mural,Catégorie Climatiseur,Split,Puissance Frigorifique (BTU),9000,Débit d&#039;Air (m3/h),9,Déshumidificateur,Technologie Jet Dry,Niveau Sonore (dB),42|36|28|22 dB(A)+1,Caractéristique Spéciale,Dual Inverter Compressor™,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple,DH-2201,DESHUMIDIFICATEUR PLEASANT UNIQUE DH-2201,1,0,visible,,1899,,"https://electroclub.ma/13101-large_default/climatiseur-inverter-miroir-9000-btu.jpg,https://electroclub.ma/13102-large_default/climatiseur-inverter-miroir-9000-btu.jpg,https://electroclub.ma/13103-large_default/climatiseur-inverter-miroir-9000-btu.jpg,https://electroclub.ma/13104-large_default/climatiseur-inverter-miroir-9000-btu.jpg",Not found,,Marque,Taurus,Reference fournisseur,DH-2201,Garantie,2 Ans,Marque,Taurus,Coloris,Blanc|Gris,Hauteur (cm),43.8,Largeur (cm),27.1,Minuteur,Oui,Capacite reservoir,2|5 L,Reservoir amovible,Oui,Indicateur de temperature,Non,Poids (KG),10,SURFACE COUVERTE,25,FILTRES FOURNIS,OUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple,D13AJH-X,Climatiseur LG 12000 BTU Dual INVERTER D13AJH-X,1,0,visible,,5699,,"https://electroclub.ma/12154-large_default/climatiseur-lg-9000-btu-dual-inverter-avec-sans-installation.jpg,https://electroclub.ma/12155-large_default/climatiseur-lg-9000-btu-dual-inverter-avec-sans-installation.jpg,https://electroclub.ma/12156-large_default/climatiseur-lg-9000-btu-dual-inverter-avec-sans-installation.jpg,https://electroclub.ma/12157-large_default/climatiseur-lg-9000-btu-dual-inverter-avec-sans-installation.jpg,https://electroclub.ma/12158-large_default/climatiseur-lg-9000-btu-dual-inverter-avec-sans-installation.jpg",Chauffage,,Marque,LG,Reference fournisseur,D13AJH-X,Garantie,1 An,Programmable,Non,Hauteur,295 mm,Largeur,875 mm,Profondeur,235 mm,Thermostat,Oui,Type de Climatiseur,Climatiseur Mural,Catégorie Climatiseur,Split,Puissance Frigorifique (BTU),12000,Débit d&#039;Air (m3/h),9,Déshumidificateur,Technologie Jet Dry,Niveau Sonore (dB),42|36|28|22 dB(A)+1,Caractéristique Spéciale,Dual Inverter Compressor™,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple,READY BLACK,MICRO ONDE READY BLACK GRILL,1,0,visible,,1099,,"https://electroclub.ma/13124-large_default/climatiseur-inverter-miroir-9000-btu.jpg,https://electroclub.ma/13125-large_default/climatiseur-inverter-miroir-9000-btu.jpg,https://electroclub.ma/13126-large_default/climatiseur-inverter-miroir-9000-btu.jpg",Not found,,Marque,Taurus,Reference fournisseur,READY BLACK,Marque,Taurus,Coloris,Noir,Hauteur (cm),26.2,Largeur (cm),46,Profondeur (cm),34,Capacité,20,Puissance,700 W,Minuteur,Non,PROGRAMMATION,ELECTRONIQUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
