Type,SKU,Name,Published,Featured,Catalog visibility,Short description,Description,Price,Regular price,Sale price,Images,Categories,Tags,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global,Attribute 11 name,Attribute 11 value(s),Attribute 11 visible,Attribute 11 global,Attribute 12 name,Attribute 12 value(s),Attribute 12 visible,Attribute 12 global,Attribute 13 name,Attribute 13 value(s),Attribute 13 visible,Attribute 13 global,Attribute 14 name,Attribute 14 value(s),Attribute 14 visible,Attribute 14 global,Attribute 15 name,Attribute 15 value(s),Attribute 15 visible,Attribute 15 global,Attribute 16 name,Attribute 16 value(s),Attribute 16 visible,Attribute 16 global,Attribute 17 name,Attribute 17 value(s),Attribute 17 visible,Attribute 17 global
simple,SES9010,EPILATEUR SES9010,1,0,visible,,,,2499,,"https://electroclub.ma/5764-large_default/braun-ses9010.jpg,https://electroclub.ma/5765-large_default/braun-ses9010.jpg,https://electroclub.ma/5766-large_default/braun-ses9010.jpg,https://electroclub.ma/5767-large_default/braun-ses9010.jpg",Beauté,,Fabricant,Braun,1,1,Référence,Ses9010,1,1,Garantie,2 ans,1,1,Fabricant,Braun,1,1,Code,2828511,1,1,,,1.0,1.0,Autonomie,50,1.0,1.0,Alimentation,Rechargeable,1.0,1.0,Utilisable sous l&#039;eau,Oui,1.0,1.0,Nombre de pinces,40,1.0,1.0,Système anti-douleur,Non,1.0,1.0,Fonction rasoir,Non,1.0,1.0,Fonction tondeuse bikini,Oui,1.0,1.0,Fonction lumiere,Non,1.0,1.0,,,,,,,,,,,,
simple,PL5117,ÉPILATEUR  PL5117,1,0,visible,,,,6799,,"https://electroclub.ma/5768-large_default/braun-pl5117.jpg,https://electroclub.ma/5769-large_default/braun-pl5117.jpg,https://electroclub.ma/5770-large_default/braun-pl5117.jpg",Beauté,,Fabricant,Braun,1,1,Référence,Pl5117,1,1,Garantie,2 ans,1,1,Fabricant,Braun,1,1,Code,2468447,1,1,,,1.0,1.0,Utilisable sous l&#039;eau,Non,1.0,1.0,Système anti-douleur,Non,1.0,1.0,Fonction rasoir,Non,1.0,1.0,Fonction tondeuse bikini,Oui,1.0,1.0,Fonction lumiere,Oui,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
simple,150S-1,RASOIR 150S-1,1,0,visible,,,,449,,"https://electroclub.ma/5771-large_default/braun-150s-1.jpg,https://electroclub.ma/5772-large_default/braun-150s-1.jpg",Beauté,,Fabricant,Braun,1,1,Référence,150s-1,1,1,Garantie,1 an,1,1,Fabricant,Braun,1,1,Code,727932,1,1,Hauteur (cm),22.2,1.0,1.0,Largeur (cm),15.5,1.0,1.0,Profondeur (cm),5.7,1.0,1.0,Poids en grammes,39,1.0,1.0,Autonomie,30,1.0,1.0,Alimentation,Rechargeable et secteur,1.0,1.0, de rasoir,A grille,1.0,1.0,Utilisation,Rasage sous l'eau,1.0,1.0,Fonction tondeuse,Oui,1.0,1.0,Nettoyage,Lavable,1.0,1.0,Fonction charge rapide,Oui,1.0,1.0,,,,
simple,3010BT,TONDEUSE 3010BT,1,0,visible,,,,1049,,https://electroclub.ma/5773-large_default/braun-3010bt.jpg,Beauté,,Fabricant,Braun,1,1,Référence,3010bt,1,1,Garantie,2 ans,1,1,Fabricant,Braun,1,1,Code,1836349,1,1,Hauteur (cm),22.2,1.0,1.0,Largeur (cm),15.5,1.0,1.0,Profondeur (cm),5.7,1.0,1.0,Poids en grammes,494,1.0,1.0,,,1.0,1.0,Autonomie,45,1.0,1.0,Alimentation,Rechargeable,1.0,1.0,Utilisation,100% étanche,1.0,1.0,Nettoyage,100% étanche,1.0,1.0,Niveaux de coupe,7,1.0,1.0,,,,,,,,
simple,310S,RASOIR 310S,1,0,visible,,,,749,,https://electroclub.ma/5774-large_default/braun-310s.jpg,Beauté,,Fabricant,Braun,1,1,Référence,310s,1,1,Garantie,2 ans,1,1,Fabricant,Braun,1,1,Code,1836348,1,1,Poids en grammes,118,1.0,1.0,Autonomie,20,1.0,1.0,Alimentation,Rechargeable,1.0,1.0, de rasoir,A grille,1.0,1.0,Utilisation,100% étanche,1.0,1.0,Fonction tondeuse,Oui,1.0,1.0,Nettoyage,100% étanche,1.0,1.0,Fonction charge rapide,Oui,1.0,1.0,,,,,,,,,,,,,,,,
simple,SHAVER 50-M1000S,RASOIR SHAVER 50-M1000S,1,0,visible,,,,1649,,"https://electroclub.ma/5775-large_default/braun-shaver-50-m1000s.jpg,https://electroclub.ma/5776-large_default/braun-shaver-50-m1000s.jpg,https://electroclub.ma/5777-large_default/braun-shaver-50-m1000s.jpg,https://electroclub.ma/5778-large_default/braun-shaver-50-m1000s.jpg,https://electroclub.ma/5779-large_default/braun-shaver-50-m1000s.jpg",Beauté,,Fabricant,Braun,1,1,Référence,Shaver 50-m1000s,1,1,Garantie,2 ans,1,1,Fabricant,Braun,1,1,Code,2832342,1,1,Autonomie,50,1.0,1.0,Alimentation,Rechargeable,1.0,1.0, de rasoir,A têtes rotatives,1.0,1.0,Utilisation,100% étanche,1.0,1.0,Fonction tondeuse,Oui,1.0,1.0,Nettoyage,Autonettoyant,1.0,1.0,Fonction charge rapide,Non,1.0,1.0,,,,,,,,,,,,,,,,,,,,
simple,MGK3221,TONDEUSE MGK3221,1,0,visible,,,,359,,"https://electroclub.ma/8560-large_default/braun-mgk3221.jpg,https://electroclub.ma/5781-large_default/braun-mgk3221.jpg,https://electroclub.ma/5782-large_default/braun-mgk3221.jpg",Beauté,,Fabricant,Braun,1,1,Référence,Mgk3221,1,1,Garantie,2 ans,1,1,Fabricant,Braun,1,1,Code,2463808,1,1,,,1.0,1.0,Autonomie,40,1.0,1.0,Alimentation,Secteur,1.0,1.0,Utilisation,Rasage sous l'eau et sec,1.0,1.0,Nettoyage,Lavable,1.0,1.0,Niveaux de coupe,22,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
simple,BT5260,TONDEUSE  BT5260,1,0,visible,,,,719,,"https://electroclub.ma/5787-large_default/braun-bt5260.jpg,https://electroclub.ma/5788-large_default/braun-bt5260.jpg,https://electroclub.ma/5789-large_default/braun-bt5260.jpg,https://electroclub.ma/5790-large_default/braun-bt5260.jpg",Beauté,,Fabricant,Braun,1,1,Référence,Bt5260,1,1,Garantie,2 ans,1,1,Fabricant,Braun,1,1,Code,2463804,1,1,,,1.0,1.0,Autonomie,40,1.0,1.0,Alimentation,Rechargeable et secteur,1.0,1.0,Utilisation,Rasage sous l'eau et sec,1.0,1.0,Nettoyage,100% étanche,1.0,1.0,Niveaux de coupe,3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
simple,SH7089,SECHE CHEVEUX SH7089,1,0,visible,,,,199,,https://electroclub.ma/5974-large_default/fast-lonic-dry-2200.jpg,Santé - Beauté,,Fabricant,Solac,1,1,Référence,SH7089,1,1,Garantie,2 ans,1,1,Fabricant,SOLAC,1,1,Finition,métallique,1,1,Puissance,2200W,1.0,1.0,,,1.0,1.0,Nombre de vitesse,2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple,BT3000,TONDEUSE BT3000,1,0,visible,,,,3999,,https://electroclub.ma/8549-large_default/tondeuse-taurus-mithos-avant.jpg,Beauté,,Fabricant,Braun,1,1,Référence,BT3000,1,1,Garantie,2 ans,1,1,Fabricant,Braun,1,1,Coloris,Noir,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple,SE 1170,EPILATEUR SE 1170,1,0,visible,,,,649,,https://electroclub.ma/8553-large_default/braun-se3420.jpg,Santé - Beauté,,Fabricant,Braun,1,1,Référence,SE 1170,1,1,Garantie,2 ans,1,1,Fabricant,Braun,1,1,Hauteur (cm),12.77,1,1,Largeur (cm),7.81,1.0,1.0,Profondeur (cm),3,1.0,1.0,,,1.0,1.0,Alimentation,Secteur,1.0,1.0,Nombre de pinces,20,1.0,1.0,Système anti-douleur,Oui,1.0,1.0,Fonction rasoir,Non,1.0,1.0,Fonction tondeuse bikini,Oui,1.0,1.0,Fonction lumiere,Oui,1.0,1.0,,,,,,,,,,,,
simple,SE 5541,EPILATEUR SE 5541,1,0,visible,,,,649,,"https://electroclub.ma/8556-large_default/braun-se3420.jpg,https://electroclub.ma/8557-large_default/braun-se3420.jpg,https://electroclub.ma/8558-large_default/braun-se3420.jpg",Santé - Beauté,,Fabricant,Braun,1,1,Référence,SE5541,1,1,Garantie,2 ans,1,1,Fabricant,Braun,1,1,Coloris,Blanc,1,1,Hauteur (cm),19.7,1.0,1.0,Largeur (cm),"6,5",1.0,1.0,Profondeur (cm),18,1.0,1.0,Poids en grammes,404,1.0,1.0,Fonction rasoir,Oui,1.0,1.0,Fonction tondeuse,Oui,1.0,1.0,Rechargeable,OUI,1.0,1.0,,,,,,,,,,,,,,,,,,,,
simple,MGK7221,TONDEUSE MGK7221,1,0,visible,,,,359,,"https://electroclub.ma/8570-large_default/braun-mgk3221.jpg,https://electroclub.ma/8585-large_default/braun-mgk3221.jpg,https://electroclub.ma/8571-large_default/braun-mgk3221.jpg",Beauté,,Fabricant,Braun,1,1,Référence,MGK7221,1,1,Garantie,2 ans,1,1,Fabricant,Braun,1,1,Autonomie,100 MIN,1,1, d&#039;alimentation,Rechargeable,1.0,1.0,,,1.0,1.0,Alimentation,Secteur,1.0,1.0,Nettoyage,Lavable,1.0,1.0,Temps de chargement,1H,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
simple,MGK5260,TONDEUSE MGK5260,1,0,visible,,,,0,,"https://electroclub.ma/8590-large_default/braun-mgk3221.jpg,https://electroclub.ma/8589-large_default/braun-mgk3221.jpg",Beauté,,Fabricant,Braun,1,1,Référence,MGK5260,1,1,Garantie,2 ans,1,1,Fabricant,Braun,1,1,Autonomie,100 MIN,1,1, d&#039;alimentation,Rechargeable,1.0,1.0,,,1.0,1.0,Alimentation,Secteur,1.0,1.0,Nettoyage,Lavable,1.0,1.0,Temps de chargement,1H,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
simple,XT5100,TONDEUSE XT5100,1,0,visible,,,,359,,"https://electroclub.ma/8594-large_default/braun-mgk3221.jpg,https://electroclub.ma/8595-large_default/braun-mgk3221.jpg,https://electroclub.ma/8596-large_default/braun-mgk3221.jpg,https://electroclub.ma/8597-large_default/braun-mgk3221.jpg",Beauté,,Fabricant,Braun,1,1,Référence,XT5100,1,1,Garantie,2 ans,1,1,Fabricant,Braun,1,1,Hauteur (cm),19,1,1,Largeur (cm),12.4,1.0,1.0,Profondeur (cm),5.5,1.0,1.0,,,1.0,1.0,Autonomie,45,1.0,1.0,Alimentation,Rechargeable,1.0,1.0,Utilisation,Rasage sous l'eau et sec,1.0,1.0,Nettoyage,Lavable,1.0,1.0,Niveaux de coupe,4,1.0,1.0,,,,,,,,,,,,,,,,
simple,PL1040,EPILATEUR PL1014,1,0,visible,,,,0,,"https://electroclub.ma/8609-large_default/braun-se3420.jpg,https://electroclub.ma/8607-large_default/braun-se3420.jpg,https://electroclub.ma/8606-large_default/braun-se3420.jpg,https://electroclub.ma/8608-large_default/braun-se3420.jpg",Beauté,,Fabricant,Braun,1,1,Référence,PL1040,1,1,Garantie,2 ans,1,1,Fabricant,Braun,1,1,,,1,1,Alimentation,Secteur,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
